id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
1,ACAMAR,Eridani,Theta Eridani,cache,0.7778114535,-0.7034493913,13847,16754,897,yes,0.44,3.2,A3IV-V,[[Eridanus (constellation),,,,96,2.6,,20.23,11.9,16,70,8200,suspected,,,,,,,,36,,,,,,,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACHERNAR,Eridani,Alpha Eridani,cache,0.4263581548,-0.9989697896,7588,10144,1,yes, ,0.445,B6 Vep,[[Eridanus (constellation),,,3.5,3150,6–8, ,23.39,16,7.3 × 11.4,250,"~15,000",Lambda Eridani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ACRUX,Crucis,Alpha Crucis,cache,3.257649429,-1.1012869254,60718,108248,,yes,-4.14,0.77,B0.5IV + B1V,[[Crux]],,,,25000,14 / 10 , ,10.13,–11.2 / -0.6, ,124,28000, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACUBENS,Cancri,Alpha Cancri,cache,2.3495929059,0.2069559213,440066,,,yes,0.6,4.20 to 4.27,A5m,[[Cancer (constellation),,,,23,2,,18.79,−13.8 ± 2,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ADHARA,Canis Majoris,Epsilon Canis Majoris,cache,1.8266034175,-0.5056558213,33579,63032,,yes,–4.11,1.5,B2 II,[[Canis Major]],,,3.31,38700,12.6 ± 1.0,,7.57,27.3,13.9,,22200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ADHIL,Andromedae,Xi Andromedae,cache,0.3592774257,0.7946270781,6411,8207,17,yes,0.55,4.9,K0 IIIb,[[Andromeda (constellation),,,2.8,45.7,2.5,0.03,15.21,–12.59,10,0,4656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AIN,Tauri,Epsilon Tauri,cache,1.1720613148,0.3347614227,20889,28305,1409,yes,,3.53,K0III,[[Taurus (constellation),,,,97 ± 8,2.7 ± 0.1,,22.24, ,12.692 ± 0.545 ,,4901 ± 20, ,,,,,,,,,>7.6 (± 0.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AL BALI,Aquarii,Epsilon Aquarii,cache,5.4440130114,-0.1657325276,102618,198001,7950,yes,,3.77,A1 V,[[Aquarius (constellation),,,3.64, , ,0.07,15.7,–16, ,70,9470,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AL HURR,Aurigae,Lambda Aurigae,cache,1.3925163397,0.699860462,24813,34411,1729,yes, ,4.71,G1 V,[[Auriga (constellation),,,4.02,1.732 ± 0.022,1.081{{+-,0.01,79.17,66.5,1.331 ± 0.021,2,"5,890 ± 4.3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AL KALB AL RAI,Cephei,Rho2 Cephei,cache,5.8899698989,1.3757412385,111056,213798,,yes,1.19,5.5,A3 V,[[Cepheus (constellation),237,73,,,,,13.75,1,,,,None ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AL KALBAIN,Tauri,Kappa Tauri,cache,1.1578877868,0.3891017642,20635,27934,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AL KURUD,Columbae,Theta Columbae,cache,1.6036399908,0.6501861148,29034,42167,2177,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AL MAAZ,Aurigae,Epsilon Aurigae,cache,1.3175877732,0.7648609997,23416,31964,,yes,-9.1,2.98,F0 Iab (or II-III,[[Auriga (constellation),,,≲ 1.0,,2.2-15,,1.53,–2.5,135-190,54,7750,[[Algol variable]],,,,,,,,,,,,,3.9 ± 0.4,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AL MINCHIR AL ASAD,Leonis,Kappa Leonis,cache,2.4637692476,0.4569677625,46146,81146,3731,yes, ,4.473,K2III,[[Leo (constellation),,,2.34,,,,15.28,27.94,,10,4370, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AL NAIR,Gruis,Alpha Gruis,cache,5.7955101149,-0.819623623,109268,209952,,yes, ,1.74,B6 V,[[Grus (constellation),,,3.76 ± 0.11,263,4,–0.13 ± 0.02,32.29,11.8,3.4,215,13920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AL NASL,Sagittarii,Gamma Sagittarii,cache,4.7377317502,-0.53100054,88635,165135,6746,yes, ,2.98,K1 III,[[Sagittarius (constellation),,,2.72,, ,–0.36,33.67,22,12, ,4760, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AL NIYAT,Scorpii,Sigma Scorpii,cache,4.2812428922,-0.4466784866,80112,147165,,yes,–4.12 ± 0.34 / −3.32 ± 0.34,2.88,B1 III,[[Scorpius]],568{{+-,174{{+-,3.85,(2.9 ± 0.8) × 10,"18.4 ± 5.4,",–0.20 ± 0.20,,–0.4,12.7 ± 1.8,25,"26,150 ± 1,070,", ,,,,,,,,(1.6 ± 0.4) × 10,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AL RISCHA,Piscium,Alpha Piscium,cache,0.5325304777,0.048236736,9487,12447,595,yes,,3.82,,[[Pisces (constellation),139 ± 1.6,46.2 ± 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AL SHARAS,Crateris,Beta Crateris,cache,2.9306623413,0.3983859462,54682,97277,4343,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AL SUHAIL AL MUHLIF,Velorum,Lambda Velorum,cache,2.391083467,-0.7580417142,44816,78647,,yes, ,2.21,K4.5 Ib-II,[[Vela (constellation),,,1.4,10000,8.5 ± 0.3,0.23,5.99,18.4,207, ,4235,[[slow irregular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AL THALIMAIN POSTERIOR,Aquilae,Iota Aquilae,cache,5.1344151248,-0.0224554115,96468,184930,7447,yes, ,4.364,B5 III,[[Aquila (constellation),,,3.64 ± 0.05,851,4.8 ± 0.3, ,8.34,–21.4,5.5 ± 0.5,55,14552, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AL THALIMAIN PRIOR,Aquilae,Lambda Aquilae,cache,5.0014547002,-0.0852166737,93805,177756,7236,yes, ,3.43,B9Vn,[[Aquila (constellation),,,4.31,55,3.1{{+-,0,26.05,&minus;12.0,1.9,103,11780, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ALAMAK,Andromedae,Gamma Andromedae,cache,0.5406123251,0.7387930679,9640,12533,603,yes,−2.9,2.26,K3IIb,[[Andromeda (constellation),,,,2000,,,9.19,−11.7 ± 0.9,80, ,4500,,−0.3 (BC),4.84 (BC),B9.5V/B9.5V (B),[[Andromeda (constellation),,,,,,,9.19,−14 ± 5 (B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ALATHFAR,Lyrae,Mu Lyrae,cache,,,90191,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ALBIREO,Cygni,Beta Cygni,cache,5.1083893087,0.4880861492,95947,183912,7417,yes,,5.09,B8Ve,[[Cygnus (constellation),,,4.00 ± 0.15,,3.3,,7.51,-18,2.7,,13200 ± 600,,,3.18,K2II,[[Cygnus (constellation),,,,,3.7 ± 0.8,,8.16,,70,,"4,080±10",,,5.82,B8:p,,,,,,,,,,3.5,,"~12,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ALCHIBA,Corvi,Alpha Corvi,cache,3.1783027455,-0.4316005315,59199,105452,,yes,3.25,4,F2 IV,[[Corvus (constellation),,,,,1.2,,67.71,4.4,,16,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ALCOR,Ursae Majoris,80 Ursae Majoris,cache,3.5077845473,0.9586269398,65477,116842,5054,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ALCYONE,Tauri,Eta Tauri,cache,0.9925888533,0.4207140112,17702,23630,5,yes,-2.39,2.873,B7IIIe,[[Taurus (constellation),,,3.5,2400,6,,8.87,10.1,8.2,,"12,753 ± 147",suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ALDAFAR,Lyrae,Eta Lyrae,cache,,,94481,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ALDEBARAN,Tauri,Alpha Tauri,cache,1.2039309542,0.2881416907,21421,29139,,yes,−0.63 ,0.75-0.95,K5III,[[Taurus (constellation),,,1.59,518 ± 32,1.7,–0.34,50.09,+54.26 ±0.03,44.2 ± 0.9,,3910,LB,,,"""toccolours sortable"" border=1 cellspacing=1 cellpadding=2 align=center style=""text-align:center; border-collapse:collapse; margin-left: 0; margin-right: auto;""",,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ALDERAMIN,Cephei,Alpha Cephei,cache,5.578855615,1.0923243044,105199,194298,1,yes,1.57,2.5141,A7IV-V,[[Cepheus (constellation),,,3.99,17,1.74,,66.5,-10,2.3,246,"7,740 ± 170",Delta Scuti,,,"""wikitable"" cellpadding=""2"" style=""margin: 1em auto 1em auto;""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ALDHAFERA,Leonis,Zeta Leonis,cache,2.6908189024,0.408709191,50335,89025,2010,yes, ,3.33,F0 III,[[Leo (constellation),,,3,85,3,–0.03,11.9,-15.6,6,72.4,6792,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ALDHANAB,Gruis,Gamma Gruis,cache,5.7330957933,-0.6521397491,108085,207971,8353,yes, ,3.003,B8 III,[[Grus (constellation),,,, , ,,15.45,–2.1,4.5,57,12520, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ALDIBAIN,Draconis,Eta Draconis,cache,4.2934725764,1.0736255687,80331,148387,,yes,0.58,2.73,G8 III,[[Draco (constellation),,,2.82,60,2.55,–0.04,35.42,–14.3,11,8,5055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ALFIRK,Cephei,Beta Cephei,cache,5.6228397738,1.2315168187,106032,205021,1,yes,–3.468,3.1438,B2IIIev,[[Cepheus (constellation),,,3.8,36900,12,–0.23,4.76,–8.2,9,28,26700,[[Beta Cephei variable]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ALGENIB,Pegasi,Gamma Pegasi,cache,0.0577523072,0.2650036998,1067,886,,yes, ,2.84,B2 IV,[[Pegasus (constellation),,,3.98 ± 0.06,5840,8.9 ± 0.1,–0.34,8.33,4.1,4.80 ± 0.39,0,"21,179 ± 237",[[Beta Cephei variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ALGIEBA,Leonis,Gamma Leonis,cache,2.7051403899,0.3462992456,50583,89485,4057,yes,–0.27/+0.98,1.98 (2.28/3.51),K0 IIIb,[[Leo (constellation),,,2.35,320,1.23,–0.49 ± 0.12,25.07,–36.24 ± 0.18,31.88,,4470, ,,,,,,,,40,≥8.78,,,,10,,4980,,,,,,,,,,≥2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ALGOL,Persei,Beta Persei,cache,0.8210415319,0.714810901,14576,19356,936,yes,−0.15,2.12,B8V (A),[[Perseus (constellation),,,,98/3.4/4.1,3.59/0.79/1.67,,35.14,3.7,4.13,,9200,[[Eclipsing binary]],,,"""wikitable"" style=""margin: 1em auto 1em auto""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ALGORAB,Corvi,Delta Corvi,cache,3.2719000387,-0.2882486527,60965,108767,4757,yes,0.2,2.962,A0 IV(n) kB9,[[Corvus (constellation),,,4.06 ± 0.05,69.0{{+-,2.74{{+-, ,37.55,9, ,236,10400, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ALHENA,Geminorum,Gamma Geminorum,cache,1.7353452778,0.2862214382,31681,60825,4817,yes, ,1.915,A1 IV,[[Gemini (constellation),,,3.6,123,2.81,–0.12,29.84,-12.5,3.3,15,9260, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ALIOTH,Ursae Majoris,Epsilon Ursae Majoris,cache,3.3773393364,0.9766831597,62956,112185,4905,yes,–0.2,1.77,A0pCr,[[Ursa Major]],,,3.5,108,2.91,0,39.51,-9.3,3.7,33,10800,[[Alpha² Canum Venaticorum variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ALKAFZAH,Ursae Majoris,Chi Ursae Majoris,cache,3.0807242959,0.8339086203,57399,102224,4518,yes,,3.69,,[[Ursa Major]],196 ± 7,60 ± 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ALKALUROPS,Boötis,Mu Boötis,cache,4.0338506221,0.6523546234,75411,137391,5734,yes,,4.31,F0V,[[Boötes (constellation),,,4.14,8,1.7,,26.96,-12.5,1.9,,"7,190 ± 140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ALKES,Crateris,Alpha Crateris,cache,2.878808951,-0.3193740183,53740,95272,4287,yes,5.17,4.07,K1 III,[[Crater (constellation),,,3.1,25,2.5,,18.71,46.8,6.5{{citation needed,,4620,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ALKURAH,Cephei,Xi Cephei,cache,5.7761235262,1.1279709526,108917,194298,,yes,,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ALNILAM,Orionis,Epsilon Orionis,cache,1.4670074139,0.0209774032,26311,37128,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ALNITAK,Orionis,Zeta Orionis,cache,1.4868387176,0.0339078689,26727,37742,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ALPHARD,Hydrae,Alpha Hydrae,cache,2.4765671798,-0.1511211222,46390,82477,,yes,−1.69 ± 0.09,2,K3 II-III,[[Hydra (constellation),,,1.54,780 ± 78,3.03 ± 0.36,-0.06,18.4,-4.3,50.5 ± 4.0,1.1,4120, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
